trial,wacc,g,exit_multiple,enterprise_value,equity_value,price_per_share
20,0.1254847315338233,0.019855230625307727,0.0,5706551.186658822,7614594.186658822,6540.6237645239835
21,0.10011335549270196,0.01816220799818853,0.0,7763349.4873565035,9671392.487356503,8307.329056310344
22,0.10451292307031886,0.019535188797628073,0.0,7404200.233342176,9312243.233342176,7998.834593147377
23,0.08212877720679815,0.01600151309451422,0.0,10022813.38696426,11930856.38696426,10248.115776468183
24,0.09533425913212226,0.025692716245133262,0.0,9122848.032737125,11030891.032737125,9475.082488178256
25,0.10516383884564799,0.016913720003944012,0.0,7147809.436285321,9055852.43628532,7778.605425429754
26,0.08623509633866545,0.01742008429038205,0.0,9527665.833876034,11435708.833876034,9822.80435825119
27,0.10913547027518507,0.018899351989034,0.0,6913592.913179452,8821635.913179452,7577.423048599426
28,0.09449041965121792,0.023220189312130945,0.0,8963330.48776175,10871373.48776175,9338.063466553642
29,0.09912459375310084,0.020036272498156635,0.0,8038359.501305691,9946402.501305692,8543.551366866253
30,0.09447440081655904,0.016909660509923846,0.0,8314454.085885856,10222497.085885856,8780.705279063612
31,0.13128417276763407,0.02313584590189335,0.0,5483648.499474573,7391691.499474573,6349.159508224165
32,0.10329754162893098,0.021827501566963704,0.0,7715932.895070041,9623975.89507004,8266.600150377977
33,0.08763433606566148,0.02134608739304113,0.0,9803593.723119725,11711636.723119725,10059.815085998733
34,0.11583817368154783,0.0217893356029271,0.0,6515902.299002139,8423945.299002139,7235.823139496769
35,0.08518734525043466,0.025985904751456127,0.0,10956293.271932684,12864336.271932684,11049.936670617319
36,0.10663295392507133,0.02546273723759028,0.0,7650163.746584736,9558206.746584736,8210.107152194412
37,0.07410494814180336,0.018283211642491762,0.0,12036568.936938629,13944611.936938629,11977.849112642698
38,0.08357720926652354,0.02405971248202788,0.0,10967227.595360849,12875270.595360849,11059.328805498066
39,0.10645291853803684,0.020957920474397252,0.0,7314752.680395651,9222795.680395652,7922.002817725177
40,0.11457699869993115,0.021247739540344375,0.0,6588141.091888008,8496184.091888007,7297.873296588221
41,0.10607052421784956,0.015769322920891678,0.0,6984243.411077624,8892286.411077624,7638.108925509039
42,0.10176527576417639,0.01957403558652951,0.0,7698151.945986982,9606194.945986982,8251.32704517006
43,0.09898344456616066,0.01796794102415859,0.0,7873659.610555256,9781702.610555256,8402.080922998844
44,0.08132217014448859,0.022070147037233274,0.0,11102527.587133262,13010570.587133262,11175.545943251385
45,0.09270233687407936,0.022677701251007012,0.0,9164239.017214451,11072282.017214451,9510.63564440341
46,0.09659041843560318,0.014813784122459222,0.0,7876045.050790506,9784088.050790507,8404.129918218954
47,0.11935683339328373,0.019944912839989323,0.0,6137474.135484204,8045517.135484204,6910.768884628245
48,0.10865427434352691,0.022804653761985632,0.0,7232031.109427547,9140074.109427547,7850.948384665476
49,0.07705439766955899,0.019533302594216387,0.0,11585450.039847907,13493493.039847907,11590.356502188546
50,0.10836125954092192,0.021822659112505912,0.0,7189209.607094675,9097252.607094675,7814.166472336948
51,0.09772376579375525,0.02087791366906771,0.0,8286515.216315923,10194558.216315923,8756.706937223778
